||Focal |Max.|Min.|Image |4x5in|4x5in|4x5in|4x5in|4x5 Front|4x5 Front|4x5in|Angle|Shtr|Wt.|Wt.|Filt.|Street|Center
Maker|Model|Lngth|Apert.|Apert.|Circle @|Excess|Excess|Max. Rise|Max. Rise|Tilt Deg.|Tilt Deg.|Equiv.|of|Size|(g)|(lb)|Size |Price|Filter
||(mm)|||f/22|Covg.|Cvrg %|Landscp|Portrait|Landscp|Portrait|to 35|Cvrg||||(mm)||Price
Rodenstock|Grandagon N|75|f/4.5|f/45|195|41.3|21.18|28.85|24.87|21.04|18.34|19|105|0|440|0.97|67|$1,169.95|$439.95
Rodenstock|Grandagon N|75|f/6.8|f/45|187|33.3|17.81|23.71|20.24|17.54|15.10|19|102|0|340|0.75|58|$749.00|$359.00
Schneider|Super-Symmar XL|80|f.4.5|f/32|212|58.3|27.50|39.38|34.51|26.21|23.33|20|105|0|271|0.60|67|$1,549.90|$364.95
Schneider|Super-Angulon XL|90|f/5.6|f/45|259|105.3|40.66|66.76|60.28|36.57|33.81|23|110|0|665|1.47|95|$1,559.00|$499.95
Fuji|Fujinon SWD|90|f/5.6|f/64|236|82.3|34.87|53.61|47.80|30.78|27.97|23|105|0|605|1.33|82|$1,295.00| 
Rodenstock|Grandagon N|90|f/4.5|f/45|236|82.3|34.87|53.61|47.80|30.78|27.97|23|105|1|700|1.54|82|$1,300.00|$576.00
Nikon|Nikkor SW |90|f/8|f/64|235|81.3|34.60|53.03|47.25|30.51|27.70|23|105|0|360|0.79|67|$839.95| 
Nikon|Nikkor SW   (specs @ f/16)|90|f/4.5|f/45|235|81.3|34.60|53.03|47.25|30.51|27.70|23|105|0|600|1.32|82|$1,319.95| 
Schneider|Super-Angulon|90|f/5.6|f/45|235|81.3|34.60|53.03|47.25|30.51|27.70|23|105|0|570|1.26|82|$1,409.00|$499.95
Rodenstock|Grandagon N|90|f/6.8|f/45|221|67.3|30.45|44.79|39.53|26.46|23.71|23|102|0|460|1.01|67|$919.00|$439.95
Fuji|Fujinon SW|90|f/8|f/45|216|62.3|28.84|41.80|36.75|24.91|22.21|23|100|0|407|0.90|67|$795.00| 
Schneider|Super-Angulon|90|f/8|f/45|216|62.3|28.84|41.80|36.75|24.91|22.21|23|100|0|390|0.86|67|$949.00|$474.95
Rodenstock|APO-Sironar N|100|f/5.6|f/64|151|-2.7|-1.79|0.00|0.00|0.00|0.00|25|72|0|170|0.37|40.5|$499.00| 
